index,game_id,home_team,away_team,week,season,home_score,away_score,winner
105,2019102100,NYJ,NE,7,2019,0,33,2
106,2019102400,MIN,WAS,8,2019,19,9,1
107,2019102700,ATL,SEA,8,2019,20,27,2
108,2019102710,IND,DEN,8,2019,15,13,1
109,2019102708,TEN,TB,8,2019,27,23,1
110,2019102707,NO,ARI,8,2019,31,9,1
111,2019102706,LA,CIN,8,2019,24,10,1
112,2019102701,BUF,PHI,8,2019,13,31,2
113,2019102702,CHI,LAC,8,2019,16,17,2
114,2019102703,DET,NYG,8,2019,31,26,1
115,2019102705,JAX,NYJ,8,2019,29,15,1
116,2019102709,SF,CAR,8,2019,51,13,1
117,2019102704,HOU,OAK,8,2019,27,24,1
118,2019102711,NE,CLE,8,2019,27,13,1
119,2019102712,KC,GB,8,2019,24,31,2
120,2019102800,PIT,MIA,8,2019,27,14,1
